Player,Projection,Sportsbook Line,Difference,Recommendation
<<<<<<< HEAD
Quentin Grimes,14.08,18.5,-4.42,0
VJ Edgecombe,17.47,18.5,-1.0300000000000011,0
Jaylen Wells,14.25,13.5,0.75,1
Olivier-Maxence Prosper,11.54,10.5,1.0399999999999991,1
Dominick Barlow,7.1,9.5,-2.4000000000000004,0
Adem Bona,7.33,8.5,-1.17,0
Jalen Johnson,20.95,23.5,-2.5500000000000007,0
Cooper Flagg,24.39,20.5,3.8900000000000006,1
Nickeil Alexander-Walker,16.74,18.5,-1.7600000000000016,0
Onyeka Okongwu,14.78,15.5,-0.7200000000000006,0
Max Christie,11.57,11.5,0.07000000000000028,1
Khris Middleton,11.24,10.5,0.7400000000000002,1
Jock Landale,8.53,8.5,0.02999999999999936,1
Daniel Gafford,10.47,8.5,1.9700000000000006,1
Cade Cunningham,24.42,26.5,-2.0799999999999983,0
Tobias Harris,12.84,12.5,0.33999999999999986,1
Duncan Robinson,9.36,10.5,-1.1400000000000006,0
Drake Powell,6.87,7.5,-0.6299999999999999,0
Giannis Antetokounmpo,21.76,25.5,-3.7399999999999984,0
Devin Booker,22.93,25.5,-2.5700000000000003,0
Jalen Green,19.04,19.5,-0.46000000000000085,0
Grayson Allen,20.87,16.5,4.370000000000001,1
Ryan Rollins,14.65,15.5,-0.8499999999999996,0
Collin Gillespie,15.1,13.5,1.5999999999999996,1
Bobby Portis,13.16,11.5,1.6600000000000001,1
Ousmane Dieng,10.2,9.5,0.6999999999999993,1
Royce O'Neale,8.85,9.5,-0.6500000000000004,0
Oso Ighodaro,8.73,6.5,2.2300000000000004,1
Brandon Miller,20.89,21.5,-0.6099999999999994,0
Kon Knueppel,18.82,19.5,-0.6799999999999997,0
LaMelo Ball,21.47,19.5,1.9699999999999989,1
Grant Williams,7.78,6.5,1.2800000000000002,1
Ryan Kalkbrenner,5.65,5.5,0.15000000000000036,1
Brandin Podziemski,18.22,17.5,0.7199999999999989,1
Collin Sexton,16.08,16.5,-0.4200000000000017,0
Gui Santos,15.37,15.5,-0.13000000000000078,0
Isaac Okoro,9.21,9.5,-0.28999999999999915,0
Guerschon Yabusele,11.38,8.5,2.880000000000001,1
Jarace Walker,14.91,17.5,-2.59,0
Russell Westbrook,19.48,16.5,2.9800000000000004,1
DeMar DeRozan,13.21,15.5,-2.289999999999999,0
Malik Monk,15.52,15.5,0.019999999999999574,1
Maxime Raynaud,15.49,15.5,-0.009999999999999787,0
Precious Achiuwa,16.94,14.5,2.4400000000000013,1
Jay Huff,13.21,13.5,-0.28999999999999915,0
Nique Clifford,13.24,11.5,1.7400000000000002,1
=======
Shai Gilgeous-Alexander,28.11,31.5,-3.3900000000000006,0
Jalen Brunson,22.87,24.5,-1.629999999999999,0
Karl-Anthony Towns,18.29,17.5,0.7899999999999991,1
Chet Holmgren,15.17,16.5,-1.33,0
OG Anunoby,16.36,14.5,1.8599999999999994,1
Mikal Bridges,12.98,13.5,-0.5199999999999996,0
Josh Hart,11.64,11.5,0.14000000000000057,1
Isaiah Joe,12.65,9.5,3.1500000000000004,1
Jared McCain,10.99,9.5,1.4900000000000002,1
Cason Wallace,12.29,9.5,2.789999999999999,1
Landry Shamet,10.38,8.5,1.8800000000000008,1
Luguentz Dort,10.6,8.5,2.0999999999999996,1
Jose Alvarado,4.5,6.5,-2.0,0
Quentin Grimes,12.81,16.5,-3.6899999999999995,0
Ace Bailey,16.79,16.5,0.28999999999999915,1
Brice Sensabaugh,14.64,15.5,-0.8599999999999994,0
Kyle Filipowski,13.27,13.5,-0.23000000000000043,0
Isaiah Collier,15.91,13.5,2.41,1
Dominick Barlow,7.42,9.5,-2.08,0
Adem Bona,6.87,5.5,1.37,1
Jaylen Wells,13.95,12.5,1.4499999999999993,1
Shai Gilgeous-Alexander,28.11,31.5,-3.3900000000000006,0
Jalen Brunson,22.87,24.5,-1.629999999999999,0
Karl-Anthony Towns,18.29,17.5,0.7899999999999991,1
Chet Holmgren,15.17,16.5,-1.33,0
OG Anunoby,16.36,14.5,1.8599999999999994,1
Mikal Bridges,12.98,13.5,-0.5199999999999996,0
Josh Hart,11.64,11.5,0.14000000000000057,1
Isaiah Joe,12.65,9.5,3.1500000000000004,1
Jared McCain,10.99,9.5,1.4900000000000002,1
Cason Wallace,12.29,9.5,2.789999999999999,1
Landry Shamet,10.38,8.5,1.8800000000000008,1
Luguentz Dort,10.6,8.5,2.0999999999999996,1
Jose Alvarado,4.5,6.5,-2.0,0
Quentin Grimes,12.81,16.5,-3.6899999999999995,0
Ace Bailey,16.79,16.5,0.28999999999999915,1
Brice Sensabaugh,14.64,15.5,-0.8599999999999994,0
Kyle Filipowski,13.27,13.5,-0.23000000000000043,0
Isaiah Collier,15.91,13.5,2.41,1
Dominick Barlow,7.42,9.5,-2.08,0
Adem Bona,6.87,5.5,1.37,1
Jaylen Wells,13.95,12.5,1.4499999999999993,1
>>>>>>> a62742b2983d2be9dd02fc9ab56444a141b6fdb0
